Date,Date
Info,Info
"Add Date","Add Date"
Sunday,Sunday
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
January,January
February,February
March,March
April,April
May,May
June,June
July,July
August,August
September,September
October,October
November,November
December,December
Jan,Jan
Feb,Feb
Mar,Mar
Apr,Apr
Jun,Jun
Jul,Jul
Aug,Aug
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Dec
Sun,Sun
Mon,Mon
Tue,Tue
Wed,Wed
Thu,Thu
Fri,Fri
Dat,Dat
Su,Su
Mo,Mo
Tu,Tu
We,We
Th,Th
Fr,Fr
Sa,Sa
"Buy before %1 and receive your order","Buy before %1 and receive your order"
"Buy now and receive your order","Buy now and receive your order"
" between "," between "
of,of
" and "," and "
Pablobae,Pablobae
"Simple Delivery Date","Simple Delivery Date"
"General Settings","General Settings"
Status,Status
"Time limit to process order same day","Time limit to process order same day"
"Show Time limit","Show Time limit"
"Holidays/Exclude Days/Blackout Days","Holidays/Exclude Days/Blackout Days"
