Mon,lunes
Tue,martes
Wed,miércoles
Thu,jueves
Fri,viernes
Sat,sábado
Sun,domingo
January,enero
February,febrero
March,marzo
April,abril
May,mayo
June,junio
July,julio
August,agosto
September,septiembre
October,octubre
November,noviembre
December,diciembre
Time limit to process order same day,Hora límite para servir pedidos el mismo día
Holidays/Exclude Days/Blackout Days,Vacaciones y Días festivos
Delivery Date,Fechas de entrega
Show Time limit,Mostrar hora límite
Display the time limit value in the shipping information,Muestra la hora límita de pedidos junto con las fechas de envío
